Save 237 - Episode 1015/1500, Score: -102.0 (0.01), AVG Score: -101.96
Save 238 - Episode 1016/1500, Score: -100.0 (0.01), AVG Score: -101.89
Save 239 - Episode 1017/1500, Score: -105.0 (0.01), AVG Score: -102.1
Save 240 - Episode 1018/1500, Score: -103.0 (0.01), AVG Score: -102.12
Save 241 - Episode 1019/1500, Score: -100.0 (0.01), AVG Score: -102.1
Save 242 - Episode 1020/1500, Score: -101.0 (0.01), AVG Score: -102.08
Save 243 - Episode 1021/1500, Score: -87.0 (0.01), AVG Score: -101.92
Save 244 - Episode 1022/1500, Score: -102.0 (0.01), AVG Score: -101.91
Save 245 - Episode 1023/1500, Score: -84.0 (0.01), AVG Score: -101.73
Save 246 - Episode 1024/1500, Score: -106.0 (0.01), AVG Score: -101.74
Save 247 - Episode 1025/1500, Score: -107.0 (0.01), AVG Score: -101.78
Save 248 - Episode 1026/1500, Score: -102.0 (0.01), AVG Score: -101.75
Save 249 - Episode 1027/1500, Score: -84.0 (0.01), AVG Score: -101.59
Save 250 - Episode 1028/1500, Score: -103.0 (0.01), AVG Score: -101.58
Save 251 - Episode 1029/1500, Score: -98.0 (0.01), AVG Score: -101.51
Save 252 - Episode 1030/1500, Score: -106.0 (0.01), AVG Score: -101.53
Save 253 - Episode 1031/1500, Score: -103.0 (0.01), AVG Score: -101.49
Save 254 - Episode 1032/1500, Score: -105.0 (0.01), AVG Score: -101.13
Save 255 - Episode 1033/1500, Score: -105.0 (0.01), AVG Score: -101.14
Save 256 - Episode 1034/1500, Score: -105.0 (0.01), AVG Score: -101.2
Save 257 - Episode 1035/1500, Score: -84.0 (0.01), AVG Score: -101.15
Save 258 - Episode 1036/1500, Score: -105.0 (0.01), AVG Score: -101.16
Save 259 - Episode 1037/1500, Score: -104.0 (0.01), AVG Score: -101.15
Save 260 - Episode 1038/1500, Score: -108.0 (0.01), AVG Score: -101.19
Save 261 - Episode 1039/1500, Score: -103.0 (0.01), AVG Score: -101.2
