Save 291 - Episode 1457/1500, Score: -108.0 (0.01), AVG Score: -109.05
Save 292 - Episode 1459/1500, Score: -87.0 (0.01), AVG Score: -108.93
Save 293 - Episode 1460/1500, Score: -87.0 (0.01), AVG Score: -108.76
Save 294 - Episode 1462/1500, Score: -87.0 (0.01), AVG Score: -108.1
Save 295 - Episode 1463/1500, Score: -83.0 (0.01), AVG Score: -107.88
Save 296 - Episode 1464/1500, Score: -87.0 (0.01), AVG Score: -107.61
Save 297 - Episode 1465/1500, Score: -88.0 (0.01), AVG Score: -107.61
Save 298 - Episode 1467/1500, Score: -107.0 (0.01), AVG Score: -107.58
Save 299 - Episode 1468/1500, Score: -87.0 (0.01), AVG Score: -107.6
Save 300 - Episode 1470/1500, Score: -83.0 (0.01), AVG Score: -107.59
Save 301 - Episode 1471/1500, Score: -97.0 (0.01), AVG Score: -107.24
Save 302 - Episode 1472/1500, Score: -106.0 (0.01), AVG Score: -107.44
Save 303 - Episode 1473/1500, Score: -86.0 (0.01), AVG Score: -107.24
Save 304 - Episode 1474/1500, Score: -83.0 (0.01), AVG Score: -107.19
Save 305 - Episode 1475/1500, Score: -106.0 (0.01), AVG Score: -107.3
Save 306 - Episode 1477/1500, Score: -107.0 (0.01), AVG Score: -107.5
Save 307 - Episode 1478/1500, Score: -108.0 (0.01), AVG Score: -107.5
Save 308 - Episode 1479/1500, Score: -108.0 (0.01), AVG Score: -107.5
Save 309 - Episode 1480/1500, Score: -108.0 (0.01), AVG Score: -107.5
Save 310 - Episode 1482/1500, Score: -100.0 (0.01), AVG Score: -107.66
Save 311 - Episode 1483/1500, Score: -90.0 (0.01), AVG Score: -107.65
Save 312 - Episode 1485/1500, Score: -85.0 (0.01), AVG Score: -107.45
Save 313 - Episode 1486/1500, Score: -83.0 (0.01), AVG Score: -107.21
Save 314 - Episode 1487/1500, Score: -105.0 (0.01), AVG Score: -107.19
Save 315 - Episode 1490/1500, Score: -107.0 (0.01), AVG Score: -106.75
Save 316 - Episode 1491/1500, Score: -92.0 (0.01), AVG Score: -106.76
Save 317 - Episode 1492/1500, Score: -107.0 (0.01), AVG Score: -106.73
Save 318 - Episode 1494/1500, Score: -90.0 (0.01), AVG Score: -107.0
Save 319 - Episode 1497/1500, Score: -107.0 (0.01), AVG Score: -107.26
Save 320 - Episode 1499/1500, Score: -107.0 (0.01), AVG Score: -108.04
